DIST_NAME,PERIMETER,INDIAASSEM,INDIAASS,ST_CODE,AC_NAME,AC_TYPE,PC_NO,ac_no,Longitude,Latitude,State,PC_NAME,PC_TYPE,PC_CODE
Dahod,0.167,2087,6111,S06,Santrampur,GEN,17,111,73.8938824602,23.2073196391,Gujarat,Dohad,ST,S0617
Mahesana,0.16,2097,6081,S06,Kadi,GEN,12,81,72.3605488859,23.1906905702,Gujarat,Mehsana,GEN,S0612
Gandhinagar,0.097,2104,6079,S06,Gandhinagar,GEN,11,79,72.7214528665,23.2231376927,Gujarat,Gandhinagar,GEN,S0611
Ahmadabad,0.132,2109,6066,S06,Dehgam,GEN,16,66,72.9166989935,23.1513225522,Gujarat,Kapadvanj,GEN,S0616
Surendranagar,0.275,2117,6011,S06,Halvad,GEN,2,11,71.230758976,22.8714457028,Gujarat,Surendranagar,GEN,S0602
Dahod,0.135,2121,6112,S06,Jhalod,ST,17,112,74.225242875,23.075284692,Gujarat,Dohad,ST,S0617
Rajkot,0.249,2122,6013,S06,Morvi,GEN,4,13,70.7682262506,22.9898530846,Gujarat,Rajkot,GEN,S0604
Surendranagar,0.191,2124,6012,S06,Dhrangadhra,GEN,2,12,71.5203502482,22.9512293638,Gujarat,Surendranagar,GEN,S0602
Panchtaluks,0.142,2128,6124,S06,Balasinor,GEN,18,124,73.4461485631,23.077656218,Gujarat,Godhra,GEN,S0618
Ahmadabad,0.218,2129,6063,S06,Viramgam,GEN,9,63,72.1541321728,23.0107334394,Gujarat,Dhandhuka,SC,S0609
Ahmadabad,0.118,2136,6064,S06,Sarkhej,GEN,11,64,72.5833233782,23.0767525785,Gujarat,Gandhinagar,GEN,S0611
Kheda,0.121,2149,6125,S06,Kapadvanj,GEN,16,125,73.1448837276,23.0346415148,Gujarat,Kapadvanj,GEN,S0616
Rajkot,0.357,2161,6014,S06,Tankara,GEN,4,14,70.7180044835,22.6207038371,Gujarat,Rajkot,GEN,S0604
Ahmadabad,0.021,2169,6067,S06,Sabarmati,GEN,11,67,72.6224169529,23.0703516794,Gujarat,Ahmedabad,GEN,S0610
Ahmadabad,0.036,2175,6078,S06,Naroda,GEN,10,78,72.6915006916,23.0492565827,Gujarat,Kapadvanj,GEN,S0616
Dahod,0.127,2176,6123,S06,Randhikpur,ST,17,123,73.9605379991,22.9542498327,Gujarat,Dohad,ST,S0617
Ahmadabad,0.138,2177,6065,S06,Daskroi,GEN,16,65,72.6773014799,22.9388011899,Gujarat,Kapadvanj,GEN,S0616
Ahmadabad,0.013,2178,6069,S06,Dariapur-Kazipur,GEN,11,69,72.654126251,23.0627165189,Gujarat,Ahmedabad,GEN,S0610
Ahmadabad,0.01,2179,6073,S06,Rakhial,GEN,10,73,72.685350278,23.0553355004,Gujarat,Kapadvanj,GEN,S0616
Panchtaluks,0.137,2186,6121,S06,Shehra,GEN,18,121,73.6525769825,22.9363628882,Gujarat,Godhra,GEN,S0618
Ahmadabad,0.018,2189,6068,S06,Ellis Bridge,GEN,11,68,72.6050192237,23.0185399613,Gujarat,Ahmedabad,GEN,S0610
Ahmadabad,0.008,2194,6070,S06,Shahpur,GEN,11,70,72.6358127965,23.0422465288,Gujarat,Ahmedabad,GEN,S0610
Dahod,0.171,2197,6113,S06,Limdi,ST,17,113,74.2202655632,22.8790808283,Gujarat,Dohad,ST,S0617
Ahmadabad,0.013,2198,6072,S06,Asarwa,GEN,11,72,72.6615715707,23.0273949568,Gujarat,Ahmedabad,GEN,S0610
Ahmadabad,0.011,2199,6074,S06,Shaher Kotda,SC,10,74,72.6845358473,23.0192705053,Gujarat,Kapadvanj,GEN,S0616
Ahmadabad,0.009,2201,6071,S06,Kalupur,GEN,10,71,72.6325521932,23.0224629798,Gujarat,Ahmedabad,GEN,S0610
Jamnagar,0.287,2203,6024,S06,Jodiya,GEN,3,24,70.4201551926,22.6106722047,Gujarat,Jamnagar,GEN,S0603
Ahmadabad,0.011,2205,6075,S06,Khadia,GEN,10,75,72.6485514311,23.0066495654,Gujarat,Kapadvanj,GEN,S0616
Ahmadabad,0.213,2207,6061,S06,Bavla,SC,9,61,72.2821010268,22.7928274661,Gujarat,Dhandhuka,SC,S0609
